userId,bookingId,bookingDate,journeyType,isInternational,providerId,originCode,destinationCode,cabinClass,devicePlatform,totalFare,onwardDeparture,userType
51b022a5e4b0aaef8f15cdb5,18062077104,20/06/2018 22:16,One way,FALSE,12,AMD,DEL,ECONOMY,iximaad,1937,07/08/2018 23:35,newUser
52381fa4e4b0802b434024be,1.80625E+11,25/06/2018 15:51,One way,FALSE,12,DEL,GAU,ECONOMY,iximaad,4633,27/07/2018 12:50,oldUser
52d952bbe4b0093a9b9cbf78,1.80612E+11,12/06/2018 20:33,One way,FALSE,12,PNQ,BLR,ECONOMY,iximaad,3889,12/06/2018 19:55,oldUser
530779c1e4b00a4950542af3,5.0684E+11,05/06/2018 23:27,One way,FALSE,103,AMD,DEL,ECONOMY,iximaio,11984,06/06/2018 14:10,oldUser
530779c1e4b00a4950542af3,PRL06E2WAA3,19/06/2018 14:52,One way,FALSE,1020,DEL,GAU,ECONOMY,iximaio,6957,20/06/2018 5:20,oldUser
530b3f8be4b05f086b0f147e,1.80606E+11,05/06/2018 17:52,One way,FALSE,12,AMD,DEL,ECONOMY,ixiweb,6517,05/06/2018 14:50,oldUser
530b3f8be4b05f086b0f147e,18060720692,07/06/2018 4:45,One way,FALSE,12,DEL,AMD,ECONOMY,ixiweb,6361,08/06/2018 23:30,oldUser
53279f84e4b0e51fc2205c72,1.80618E+11,18/06/2018 20:53,One way,FALSE,12,CCU,DEL,ECONOMY,iximatr,4798,27/06/2018 17:10,newUser
53385594e4b058a4b24658d7,4660544,06/06/2018 2:18,One way,FALSE,196,PNQ,BLR,ECONOMY,iximatr,11470,10/06/2018 18:25,oldUser
534d3031e4b0c5fb4d34bc0e,4703645,07/06/2018 19:47,One way,FALSE,196,BLR,PNQ,ECONOMY,iximweb,3674,24/07/2018 18:00,newUser
535195a8e4b05e8983ce9848,1.80615E+11,15/06/2018 21:27,Return,FALSE,12,CCU,DEL,ECONOMY,iximaad,12024,20/06/2018 1:20,oldUser
535928d6e4b05e8983cefd56,PRL06CTAVMT,12/06/2018 8:12,One way,FALSE,1020,PNQ,BLR,ECONOMY,iximaad,5546,14/06/2018 17:00,oldUser
5379d0e8e4b0f8b6764a8c09,1.80615E+11,15/06/2018 18:22,One way,FALSE,12,BLR,PNQ,ECONOMY,iximaad,4640,16/06/2018 10:00,oldUser
537dfdbbe4b0114160d20de6,18062853890,28/06/2018 14:13,One way,FALSE,12,PNQ,BLR,ECONOMY,iximaad,1887,10/07/2018 19:55,oldUser
